,skblid,description,detail,occupationtype,from,place
516,AinaMargaretaElvius,Professor,"Professor, astronomi, även prefekt fr o m 1977, Stockholms observatorium",Yrke,"{'comment': '1979', 'date': '1979'}","{'pin': {'lat': 59.278744, 'lon': 18.311052}, 'place': 'Saltsjöbaden'}"
517,AnneMarieElvius,Intendent,"Konsthantverksintendent, Medborgarskolan",Yrke,"{'comment': '1971', 'date': '1971'}","{'pin': {'lat': 59.858564, 'lon': 17.638927}, 'place': 'Uppsala'}"
518,IngeborgMariaEnander,Fotograf,"Fotograf, filial till Ingeborg Enander &amp; Co.",Yrke,"{'comment': '1909', 'date': '1909'}","{'pin': {'lat': 58.2246504, 'lon': 11.9198287}, 'place': 'Ljungskile'}"
519,ChristinaWilhelminaEnbom,Skådespelare,"Skådespelare, bl a Mindre teatern 1841–1850, Djursholms teatersällskap ca 1850–1857",Yrke,"{'comment': '1823', 'date': '1823'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
520,GerdEnequist,,Ledamot av Uppsala kyrkofullmäktige,Ideellt arbete,"{'comment': '1951', 'date': '1951'}","{'pin': {'lat': 59.858564, 'lon': 17.638927}, 'place': 'Uppsala'}"
521,AndreaEneroth,Sakkunnig,Sakkunnig i 1921 års Skolkommission,Yrke,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
522,CarolaEneroth,Föreståndare,"Föreståndare, styrelseledamot, Institutet för etisk fostran, senare Etisk-pedagogiska institutet",Yrke,"{'comment': '1921', 'date': '1921'}","{'pin': {'lat': 59.858564, 'lon': 17.638927}, 'place': 'Uppsala'}"
523,EvaEngdahl,Lärare,Musiklärare,Yrke,"{'comment': '1968', 'date': '1968'}","{'pin': {'lat': 60.14533, 'lon': 16.17384}, 'place': 'Avesta'}"
524,NinavonEngestrom,Skribent,Läromedelsförfattare,Yrke,{'comment': '1890-talet'},
525,GretaSigridElisabethEngkvist,Föreståndare,"Föreståndare, Stiftelsen Fredshögskolan",Yrke,"{'comment': '1939', 'date': '1939'}",
526,EvaEnglund,Formgivare,"Glaskonstnär, egen firma, Muraya AB",Yrke,"{'comment': '1990', 'date': '1990'}",
527,MonaLisaEnglund,Lärare,"Idrottslärare, Stanford University",Yrke,"{'comment': '1956', 'date': '1956'}","{'pin': {'lat': 37.4443293, 'lon': -122.1598465}, 'place': 'Palo Alto, USA'}"
528,UllaBrittEnglund,Lärare,Tränare i konståkning,Yrke,,"{'pin': {'lat': 57.70887, 'lon': 11.97456}, 'place': 'Göteborg'}"
529,ElinEngstrom,Kommun- och landstingspolitiker,"Ledamot, Kommunala pensionsnämnden 1917–1935, Kommunala hyresnämnden 1917–1923",Ideellt arbete,"{'comment': '1917', 'date': '1917'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
530,MariaLovisaEngvall,Missionär,"Missionär, sjuksköterska, barnmorska",Yrke,"{'comment': '1900', 'date': '1900'}","{'pin': {'lat': 35.000074, 'lon': 104.999927}, 'place': 'Kina'}"
531,LokaEnmark,Författare,"Författare, skribent",Yrke,"{'comment': '1960', 'date': '1960'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
532,MarjaEntrich,Företagare,"Grundare, innehavare, Marja Entrich AB",Yrke,"{'comment': '1943', 'date': '1943'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
533,SivEricks,Skådespelare,"Skådespelare, revyartist, teater, film och radio",Yrke,"{'comment': '1950', 'date': '1950'}",
534,AnnalisaEricson,Skådespelare,"Skådespelare, dansare, revyartist, teater, film och TV",Yrke,"{'comment': '1920', 'date': '1920'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
535,EstridEricson,Inredningsrådgivare,"Inredningsrådgivare, skribent",Yrke,{'comment': '1930-tal'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
536,UllaEricsonAstrom,Textilkonstnär,"Textilkonstnär, formgivare, frilans",Yrke,{'comment': '1940-talet'},
537,HildaEricsson,Lantbrukare,"Ekonomiansvarig, mönsterjordbruk",Yrke,"{'comment': '1903', 'date': '1903'}","{'pin': {'lat': '59.114527', 'lon': '17.659417'}, 'place': 'Alby'}"
538,HildurKristinaEricsson,Styrelseledamot,"Styrelseledamot, Vittjärvsgårdens lanthushållsskola",Ideellt arbete,,
539,AnnaBielke,,,,,
540,MartaEriksdotterLeijonhufvud,Redare,Redare,Yrke,,"{'pin': {'lat': 57.7096624, 'lon': 16.452267099999972}, 'place': 'Västervik'}"
541,DagnyMarianneErikson,Forskare,"Frilansande forskare, skribent, curator inom textilområdet",Yrke,"{'comment': '1999', 'date': '1999'}",
542,MariaCharlottaErikson,Skådespelare,"Skådespelare, Wallinska och Gilleska landsortstrupperna, Djurgårdsteatern, Mindre teatern m fl",Yrke,"{'comment': '1842', 'date': '1842'}",
543,AmaliaEriksson,Företagare,"Polkagrisbagare, finbagare",Yrke,"{'comment': '1859', 'date': '1859'}","{'pin': {'lat': 58.0251, 'lon': 14.467300000000023}, 'place': 'Gränna'}"
544,EllenEriksson,Kommun- och landstingspolitiker,"Ledamot, Norra Nys kommunfullmäktige, för SKP",Ideellt arbete,"{'comment': '1965', 'date': '1965'}","{'pin': {'lat': 60.140907, 'lon': 13.010213}, 'place': 'Torsby'}"
545,ErnaMarianneEriksson,Redaktör och förlagschef,"Förlagschef, delägare, Eriksson &amp; Lindgren Bokförlag AB",Yrke,"{'comment': '1989', 'date': '1989'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
546,KarinGunnelIngegerdEriksson,Antikvarie,"Länsantikvarie, Västerbottens län",Yrke,"{'comment': '1976', 'date': '1976'}","{'pin': {'lat': 63.825847, 'lon': 20.263035}, 'place': 'Umeå'}"
547,MartaGretaEriksson,Lärare,"Lärare, pianospel, Stiftelsen Edsbergs Musikinstitut",Yrke,"{'comment': '1986', 'date': '1986'}","{'pin': {'lat': 59.45, 'lon': 17.916667}, 'place': 'Sollentuna'}"
548,NancyEriksson,Riksdagsledamot,"Riksdagsledamot, enkammariksdagen",Yrke,"{'comment': '1971', 'date': '1971'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
549,AliceErikssonKalla,Arbetare,Arbetare,Yrke,,"{'pin': {'lat': 52.032, 'lon': 113.501}, 'place': 'Tjita, Ryssland'}"
550,IngeborgErixson,Författare,Poet,Yrke,"{'comment': '1944', 'date': '1944'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
551,AinaErlander,Förbundsordförande,"Ordförande, Unga Örnar",Ideellt arbete,"{'comment': '1957', 'date': '1957'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
552,EllenErup,Redaktör,Redaktör för förbundstidskriften Jordemodern,Ideellt arbete,"{'comment': '1950', 'date': '1950'}",
553,ElsaEschelsson,Inspektor,Inspektor för Uppsala högre elementarläroverk för flickor,Yrke,"{'comment': '1905', 'date': '1905'}","{'pin': {'lat': 59.858564, 'lon': 17.638927}, 'place': 'Uppsala'}"
554,SigridEskilsdotterBaner,,,,,
555,BengtaEskilsson,Textilkonstnär,Textilkonstnär,Yrke,{'comment': '1880-talet'},"{'pin': {'lat': 55.70466, 'lon': 13.191007}, 'place': 'Lund'}"
556,UllaBirgittaEsonBodin,Uppfinnare,"Produktutvecklare, Abinita",Yrke,{'comment': '2000-talet'},
557,RuthEttlinger,Chef,"Sektorschef, psykiatrin i Sydvästra sjukhusområdet",Yrke,"{'comment': '1985', 'date': '1985'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
558,RigmorvonEuler,Sakkunnig,"Sakkunnig, statliga utredningar",Yrke,"{'comment': '1977', 'date': '1977'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
559,ClaraNataliaTeresiaEuren,Översättare,Översättare,Yrke,"{'comment': '1901', 'date': '1901'}",
560,ElisabetMatildaVilhelminaEuren,Lektor,"Adjunkt, fr o m 1919 lektor, Folkskoleseminariet i Stockholm",Yrke,"{'comment': '1904', 'date': '1904'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
561,LisaEurenBerner,Författare,,Yrke,"{'comment': '1932', 'date': '1932'}",
562,EmmyEvald,Vice ordförande,"Vice president, American-Swedish Historical Foundation Museum",Ideellt arbete,,"{'pin': {'lat': 39.9524, 'lon': -75.16359999999997}, 'place': 'Philadelphia, USA'}"
563,IngaStinaEwbank0,Professor,"Professor, engelsk litteratur, Leeds University",Yrke,"{'comment': '1985', 'date': '1985'}","{'pin': {'lat': 53.7974185, 'lon': -1.5437941}, 'place': 'Leeds, Storbritannien'}"
564,ElsaEwerlof,Skolledare,"Styrelseledamot, organisatör, Högerns kvinnliga medborgarskola",Yrke,"{'comment': '1946', 'date': '1946'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
565,GorvelFadersdotterSparreavHjulstaochAngso0,Godsägare,Godsägare,Yrke,{'comment': '1520-talet'},
566,StinaFagerskog,Socialt och filantropiskt arbete,"Initiativtagare till Sömmerskornas sjuk- och begravningskassa (SSBK) 1898, sedermera styrelseledamot, Göteborgs stads erkända centralsjukkassa",Ideellt arbete,"{'comment': '1898', 'date': '1898'}","{'pin': {'lat': '57.70887', 'lon': '11.97456'}, 'place': 'Göteborg'}"
567,AmaliaFahlstedt,Översättare,,Yrke,,
568,EvelinaFahnehjelm,Kyrklig verksamhet,"Ledamot, Nicolai församlings kyrkoråd",Ideellt arbete,"{'comment': '1890', 'date': '1890'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
569,AnnMariFalk,Förlagsanställd,"Lektör, Rabén &amp; Sjögren Bokförlag AB",Yrke,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
570,ElinFalk,Inspektör,Gymnastikinspektör,Yrke,"{'comment': '1909', 'date': '1909'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
571,GaboFalk,Barndanspedagog,,Yrke,"{'comment': '1920', 'date': '1920'}",
572,JeannaFalk,Lärare och koreograf,,Yrke,{'comment': '1950-talet'},"{'pin': {'lat': '57.70887', 'lon': '11.97456'}, 'place': 'Göteborg'}"
573,FannyJohannaMariaFalkner,Skådespelare,"Skådespelare, Intima teatern",Yrke,{'comment': 'Ca 1908'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
574,StellaFalknerSoderberg,Författare,Författare,Yrke,"{'comment': '1970', 'date': '1970'}",
575,MajFant,Programledare,"Programledare, talkshow, TV4",Yrke,{'comment': '1990-talet'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
576,MollieFaustman,Författare,,Yrke,,
577,HannaAugustaFerlin,Fotograf,"Fotograf, egen ateljé",Yrke,{'comment': '1920-talet'},"{'pin': {'lat': 58.6135368, 'lon': 12.0058822}, 'place': 'Färgelanda'}"
578,SophievonFersen,Hovdam,Hovmästarinna hos hertiginnan Hedvig Elisabeth Charlotta,Yrke,"{'comment': '1786', 'date': '1786'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
579,EmyFick,Företagare,"Modedirektris, grundare, föreståndare, Sankta Birgittaskolan",Yrke,"{'comment': '1914', 'date': '1914'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
580,AnnaFickesdotterBulow,Författare,Författare,Yrke,{'comment': 'Ca 1515'},"{'pin': {'lat': '58.447602', 'lon': '14.890234'}, 'place': 'Vadstena'}"
581,EddieFigge,Konstnär,Konstnär,Yrke,"{'comment': '1939', 'date': '1939'}",
582,IngaFischerHjalmars,Professor,"Professor, teoretisk fysik, Stockholms universitet",Yrke,"{'comment': '1963', 'date': '1963'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
583,AnnaFischerstrom,Skolföreståndare,"Föreståndare, Karlskrona högre läroverk för flickor",Yrke,"{'comment': '1896', 'date': '1896'}","{'pin': {'lat': 56.161224, 'lon': 15.5869}, 'place': 'Karlskrona'}"
584,EdithMariaFischerstrom,Konstnär,"Konstnär, grafiker, skulptör",Yrke,"{'comment': '1904', 'date': '1904'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
585,RandiFisher,Socialt och filantropiskt arbete,Arbete för ideella hjälporganisationer,Ideellt arbete,"{'comment': '1978', 'date': '1978'}","{'pin': {'lat': '55.676097', 'lon': '12.568337'}, 'place': 'Köpenhamn, Danmark'}"
586,LauraMathildaEdlaRosaFitinghoff,Kennelägare,"Kennelägare, pudeluppfödare",Yrke,"{'comment': '1918', 'date': '1918'}","{'pin': {'lat': 59.401213, 'lon': 18.089121}, 'place': 'Djursholm'}"
587,LauraFitinghoff,Författare,,Yrke,"{'comment': '1885', 'date': '1885'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
588,PhebeFjellstrom,Professor,"Docent, fr o m 1981 professor, etnologi, Umeå universitet",Yrke,"{'comment': '1976', 'date': '1976'}","{'pin': {'lat': '63.825847', 'lon': '20.263035'}, 'place': 'Umeå'}"
589,KarinFjallbackHolmgren,Politisk verksamhet,"Ledamot, statens sinnessjuknämnd",Ideellt arbete,"{'comment': '1930', 'date': '1930'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
590,LinneaFjallstedt,Författare,,Yrke,"{'comment': '1965', 'date': '1965'}","{'pin': {'lat': 64.6257185, 'lon': 16.6541624}, 'place': 'Vilhelmina'}"
591,MajaFjstad,Textilkonstnär,"Konstnär, textilkonstnär, fr o m 1901 ledare, Fjæstads väveri",Yrke,{'comment': '1890-talet'},
592,LouiseFlodin,Tidskriftsredaktör,"Medarbetare, bl a  Tidning för trädgårdsodlare",Yrke,{'comment': '1880-talet'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
593,NaemaFlodstrom,Bankanställd,"Bankbiträde, fr o m 1903 bankkamrer, Hedemora sparbank",Yrke,"{'comment': '1874', 'date': '1874'}","{'pin': {'lat': 60.2775453, 'lon': 15.985892000000035}, 'place': 'Hedemora'}"
594,EmmaFlood,Lantbrukare,"Småbrukare, Leketorp",Yrke,"{'comment': '1912', 'date': '1912'}","{'pin': {'lat': 60.6149, 'lon': 13.039999999999964}, 'place': 'Likenäs'}"
595,HuldaFlood,Politisk verksamhet,"Nämndeman, Stockholms rådhusrätt",Ideellt arbete,"{'comment': '1948', 'date': '1948'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
596,EmilieFlygareCarlen,Författare,,Yrke,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
597,EmiliaFogelklou,Kurator,"Kurator, läger för polska överlevare från koncentrationsläger",Ideellt arbete,{'comment': ''},"{'pin': {'lat': '58.016418', 'lon': '14.317371'}, 'place': 'Visingsö'}"
598,UllaFogelklouSkogh,Formgivare,"Formgivare, bl a AB Nybrofabrikerna, Glössner & Co",Yrke,,
599,MariaLovisaFolkeson,Läkare,"Läkare, privat praktik",Yrke,"{'comment': '1896', 'date': '1896'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
600,LisaFonssagrivesPenn,Konstnär,"Konstnär, skulptör, fotograf",Yrke,{'comment': '1960-talet'},"{'pin': {'lat': 40.712784, 'lon': -74.005941}, 'place': 'New York, USA'}"
601,AstridMargaretaForsberg,Skribent,"Frilansande skribent, bl a Husmodern, Idun, Vårt hem, Vecko-Journalen, Året Runt, Hertha, Morgonbris",Yrke,"{'comment': '1930', 'date': '1930'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
602,MarieLouiseafForsell,,,,,
603,IngaMajBirgittaForsman,Författare,"Författare, föreläsare, debattör",Yrke,,
604,AnnalisaForssberger,Bibliotekarie,,Yrke,,
605,IngeborgAugustaMariaMajaForsslund,Folkminnesupptecknare,"Folkminnesupptecknare, engagerad inom hembygsvården",Ideellt arbete,,"{'pin': {'lat': 59.87549, 'lon': 15.00051}, 'place': 'Kopparberg'}"
606,FejanForsslund,Lärare,"Slöjd- och hushållslärare, även sång- och teaterlärare, Brunnsviks folkhögskola",Yrke,"{'comment': '1907', 'date': '1907'}","{'pin': {'lat': 60.189444, 'lon': 15.145}, 'place': 'Sörvik'}"
607,ElsaFougt,Företagare,"Ägare, importör, bokhandeln Elsa Fougt et Comp.",Yrke,"{'comment': '1784', 'date': '1784'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
608,AnnaCharlottaMathildaFoy,Författare,Författare,Yrke,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
609,ValborgFranchi,Lärare,"Balettlärare, Kungliga Dramatiska Teaterns elevskola",Yrke,"{'comment': '1957', 'date': '1957'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
610,CeciliaFrancke,Politisk verksamhet,"Ledamot, Gustav Vasa församlings skolråd",Ideellt arbete,,"{'pin': {'lat': '59.329323', 'lon': '18.068581'}, 'place': 'Stockholm'}"
611,MarianneFrankenhaeuser,Tidskriftsredaktör,"Redaktör, bl a Motivation and Emotion, International Journal of Psychology, Human Neurobiology, Stress Medicine och Journal of Organizational Behavior",Yrke,,
612,SonjaFredgardh,Ledamot,"Ledamot, Forskningsrådsnämnden 1977—1979, nämnden för fortbildning av journalister 1970—1984",Ideellt arbete,"{'comment': '1970', 'date': '1970'}",
613,IngaBrittFredholm,Sekreterare,"Sekreterare, senare arkivarie åt Evert Taube",Yrke,"{'comment': '1962', 'date': '1962'}",
614,MaudFredinFredholm,Formgivare,"Formgivare, modeskapare och inredare, Maud Fredin Fredholm AB (MFFAB)",Yrke,"{'comment': '1945', 'date': '1945'}","{'pin': {'lat': '57.658163', 'lon': '12.118993'}, 'place': 'Mölnlycke'}"
615,GunMarieMarieFredriksson,Konstnär,Konstnär,Yrke,{'comment': '2000-talet'},
616,MarianneFredriksson,Journalist,"Jornalist, *Svenska Dagbladet*",Yrke,"{'comment': '1974', 'date': '1974'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
617,MargitFriberg,Författare,Författare,Yrke,"{'comment': '1942', 'date': '1942'}",
618,GertrudSaraFridh,Skådespelare,"Skådespelare, bl a Göteborgs stadsteater 1948, Intima teatern, Stockholm 1950, Malmö Stadsteater 1952–1954, m fl",Yrke,"{'comment': '1943', 'date': '1943'}",
619,SigridFridman,Skulptör,Skulptör,Yrke,"{'comment': '1916', 'date': '1916'}",
620,EllenFries,Författare,,Yrke,,
621,LycheSophiaFriis0,Guvernant,Guvernant,Yrke,{'comment': 'Ca 1732'},"{'pin': {'lat': 55.8374959, 'lon': 13.3036265}, 'place': 'Eslöv'}"
622,VeraElisabethFrisen,Konstnär,Konstnär,Yrke,"{'comment': '1941', 'date': '1941'}",
623,AnnaCeciliaFrisendahl,Lärare,"Lärare, Kungliga Konsthögskolan",Yrke,"{'comment': '1978', 'date': '1978'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
624,BasiaFrydman0,Skådespelare,"Medgrundare, skådespelare, sångare, Judiska teatern",Yrke,"{'comment': '1995', 'date': '1995'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
625,IrjaKerstinFrykstrand,Konstnär,"Konstnär, frilansande illustratör",Yrke,{'comment': '1930-talet'},
626,EvaAndreettaFryxell,Verksamhetsgrundare,"Grundare, Adresskontoren för arbeterskor",Ideellt arbete,"{'comment': '1880', 'date': '1880'}",
627,KarinFryxell,Fotograf,Fotograf,Yrke,,
628,CeciliaFryxell,Skolledare,"Skolgrundare och skolledare, flickskola och lärarinneutbildning, Rostad",Yrke,"{'comment': '1859', 'date': '1859'}","{'pin': {'lat': '56.663445', 'lon': '16.356779'}, 'place': 'Kalmar'}"
629,EvaFroberg,Godsägare,"Godsägare, Husby Säteri",Yrke,{'comment': 'Ca 1906'},"{'pin': {'lat': 58.475901, 'lon': 16.323431}, 'place': 'Söderköping'}"
630,EmiliaFroding,Författare,Poet,Yrke,,
631,NataliaFrolander,Socialt och filantropiskt arbete,"Filantropiskt arbete, bl a för läsestugor",Ideellt arbete,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
632,CharlottaFrolich0,Företagare,Drev masugn för framställning av tackjärn,Yrke,"{'comment': '1734', 'date': '1734'}",
633,EvaMargaretaFrolich,Författare,"Författare, kiliastiska skrifter",Yrke,"{'comment': '1685', 'date': '1685'}","{'pin': {'lat': '52.370216', 'lon': '4.895168'}, 'place': 'Amsterdam, Nederländerna'}"
634,NannyIngeborgFroman,Professor,"Professor, Institutionen för teoretisk fysik, Uppsala universitet",Yrke,"{'comment': '1987', 'date': '1987'}","{'pin': {'lat': 59.858564, 'lon': 17.638927}, 'place': 'Uppsala'}"
635,EliseFrosslind,Sångare,"Operasångare, skådespelare, Kongl. Theatern",Yrke,"{'comment': '1811', 'date': '1811'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
636,MirjamFuruhjelm,Läkare,"Tredje underläkare, fr o m 1947 förste underläkare, fr o m 1953 biträdande överläkare, Sabbatsbergs sjukhus",Yrke,"{'comment': '1945', 'date': '1945'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
637,MajaLisaFurusjo,Chef,"Redaktör, fr o m 1959 fackredaktör, fr o m 1974 chefredaktör, Icakuriren",Yrke,"{'comment': '1953', 'date': '1953'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
638,GothildaFurstenberg,Socialt och filantropiskt arbete,"Filantropiskt arbete, bl a genom egen stiftelse",Ideellt arbete,{'comment': '1880-talet'},"{'pin': {'lat': '57.70887', 'lon': '11.97456'}, 'place': 'Göteborg'}"
639,SophiaEmiliaEmmaFurstenhoff,Sjuksköterska,"Krigssjuksköterska, Fransk-tyska kriget",Yrke,"{'comment': '1870', 'date': '1870'}","{'pin': {'lat': 48.856614, 'lon': 2.352222}, 'place': 'Paris, Frankrike'}"
640,LauraAdolfinaFahrus,Socialt och filantropiskt arbete,"Filantropisk verksamhet, bl a ordförande, Sällskapet för uppmuntrande av öm och sedlig modersvård",Ideellt arbete,"{'comment': '1849', 'date': '1849'}","{'pin': {'lat': 57.70887, 'lon': 11.97456}, 'place': 'Göteborg'}"
641,ElsaGafvelin,Politisk verksamhet,"Ledamot, Umeå kyrkofullmäktige",Ideellt arbete,,"{'pin': {'lat': '63.825847', 'lon': '20.263035'}, 'place': 'Umeå'}"
642,MarieLouiseGagner,Filmcensor,"Filmcensor, Statens biografbyrå",Yrke,"{'comment': '1911', 'date': '1911'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
643,MarthaFredriqueGahn,Textilkonstnär,"Innehavare, Kristlig Konst",Yrke,"{'comment': '1954', 'date': '1954'}","{'pin': {'lat': 59.403297, 'lon': 18.32638}, 'place': 'Vaxholm'}"
644,IngridGamstorp0,Professor,"Professor och överläkare, barnneurologi,  Uppsala Akademiska Sjukhus (UAS)",Yrke,"{'comment': '1972', 'date': '1972'}","{'pin': {'lat': 59.858564, 'lon': 17.638927}, 'place': 'Uppsala'}"
645,GretaGarbo,Skådespelare,"Skådespelare, film, Sverige och Hollywood",Yrke,"{'comment': '1922', 'date': '1922'}",
646,AnnaGardellEricson,Skolföreståndare,"Föreståndare, Göteborgs musei rit- och målarskola (nuvarande Konsthögskolan Valand)",Yrke,"{'comment': '1889', 'date': '1889'}","{'pin': {'lat': 57.70887, 'lon': 11.97456}, 'place': 'Göteborg'}"
647,SigneGarling0,Bibliotekarie,"Bibliotekarie, skandinaviska avdelningen, Sainte Genevièvebiblioteket",Yrke,"{'comment': '1916', 'date': '1916'}","{'pin': {'lat': 48.856614, 'lon': 2.352222}, 'place': 'Paris, Frankrike'}"
648,ToraGarmFex,Journalist,"Journalist, frilans",Yrke,"{'comment': '1924', 'date': '1924'}",
649,CharlottaHelenaCharlotteGarneij,Skolföreståndare,"Skolföreståndare, flickpension",Yrke,{'comment': '1810-talet'},"{'pin': {'lat': 59.310068, 'lon': 14.108919}, 'place': 'Kristinehamn'}"
650,FloryGate,Föreståndare,"Grundare och föreståndare, lokal vävskola och mattfabrik",Yrke,"{'comment': '1951', 'date': '1951'}","{'pin': {'lat': 57.083333, 'lon': 14.708611}, 'place': 'Lädja by'}"
651,IdaGawellBlumenthal,Mecenat,"Donator, arbetet med Delsbogården, Skansen",Ideellt arbete,{'comment': '1930-talet'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
652,EstherGehlin,Konstnär,"Konstnär, textilkonstnär",Yrke,"{'comment': '1915', 'date': '1915'}",
653,KatjaGeiger,"Designer, företagsgrundare","Designer för Katja of Sweden, Huaröd Design, Katja Products",Yrke,"{'comment': '1949', 'date': '1949'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
654,AgnesGeijer,Chef,"Chef för textilavdelningen, forskare, författare, Riksantikvarieämbetet",Yrke,"{'comment': '1949', 'date': '1949'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
655,BritaafGeijerstam,Lärare,"Lärare, danspedagog, Danshögskolan",Yrke,{'comment': '1970-talet'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
656,LeoniaMariaLeonieGeisendorf,Arkitekt,"Arkitekt (SAR / MSA / SIA), L o CE Geisendorf Arkitektkontor AB",Yrke,{'comment': '1940-talet'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
657,IngaGentzel,Lärare,Pianolärare,Yrke,"{'comment': '1937', 'date': '1937'}","{'pin': {'lat': 58.752844, 'lon': 17.009159}, 'place': 'Nyköping'}"
658,SelmaGerdin,Företagare,"Grundare, ägare, Nora Glass",Yrke,"{'comment': '1923', 'date': '1923'}","{'pin': {'lat': 59.51920639, 'lon': 15.03786669}, 'place': 'Nora'}"
659,JaneGernandtClaine,Författare,Författare,Yrke,"{'comment': '1893', 'date': '1893'}",
660,SylviaGibson,Lärare,"Lärare, Kungliga Konsthögskolans (KKH) arkitektutbildning, Stockholm 1967–1972, Chalmers tekniska högskola, Göteborg 1970-talet",Yrke,"{'comment': '1967', 'date': '1967'}",
661,EsterGill,Illustratör,"Serietecknare, bl a Folkskolans barntidning 1918–1926, Stockholms-Tidningen 1924–1926, samt illustratör, Dagens Nyheter 1925–1939",Yrke,"{'comment': '1918', 'date': '1918'}",
662,IngaStinaGill,Skådespelare,Skådespelare,Yrke,{'comment': 'Ca 1943'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
663,SigridGillner,Kommun- och landstingspolitiker,"Ledamot, Uppsala stadsfullmäktige",Ideellt arbete,,"{'pin': {'lat': 59.858564, 'lon': 17.638927}, 'place': 'Uppsala'}"
664,SofiaGisberg,Formgivare,"Textildesigner, delägare, AB Licium",Yrke,"{'comment': '1904', 'date': '1904'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
665,GretaGiadda,,,,,
